"穿越计算机的迷雾","李忠","255","8.7","http://book.douban.com/subject/5432475/"
"高效程序员的45个习惯","Venkat Subramaniam","204","8.2","http://book.douban.com/subject/4164024/"
"浪潮之巅","吴军","584","9.1","http://book.douban.com/subject/6709783/"
"英雄志【十六】業火魔刀","孫曉","","9.0","http://book.douban.com/subject/1374412/"
"英雄志【十五】鎮國鐵衛","孫曉","","9.0","http://book.douban.com/subject/1374054/"
"英雄志【十四】正統王朝","孫曉","","9.1","http://book.douban.com/subject/3550711/"
"英雄志【十三】海上孤鴻","孫曉","","9.0","http://book.douban.com/subject/1373645/"
"暗时间","刘未鹏","251","8.5","http://book.douban.com/subject/6709809/"
"英雄志【十二】十面埋伏","孫曉","","9.0","http://book.douban.com/subject/3550708/"
"达·芬奇密码","[美] 丹·布朗","432","8.2","http://book.douban.com/subject/1040771/"
"狼图腾","姜戎","408","8.4","http://book.douban.com/subject/1022060/"
"英雄志【十一】重建怒蒼","孫曉","","9.0","http://book.douban.com/subject/3550703/"
"英雄志【十】忠義孤臣","孫曉","","9.1","http://book.douban.com/subject/3550697/"
"一起魔方吧","魔方吧俱乐部","236","6.9","http://book.douban.com/subject/4909288/"
"英雄志【九】神劍擒龍","孫曉","","9.0","http://book.douban.com/subject/3550696/"
"英雄志【八】金榜題名","孫曉","","9.0","http://book.douban.com/subject/3550693/"
"英雄志【七】天下第一","孫曉","","9.0","http://book.douban.com/subject/3550630/"
"小王子","[法] 圣埃克苏佩里","97","9.0","http://book.douban.com/subject/1084336/"
"英雄志【六】一代真龍","孫曉","","8.8","http://book.douban.com/subject/3550539/"
"英雄志【五】西出陽關","孫曉","","8.9","http://book.douban.com/subject/3550536/"
"英雄志【四】神鬼亭外","孫曉","","8.8","http://book.douban.com/subject/3550534/"
"英雄志【三】京城之會","孫曉","","8.7","http://book.douban.com/subject/3550530/"
"英雄志【二】亂世文章","孫曉","","8.8","http://book.douban.com/subject/3550513/"
"英雄志【一】西涼風暴","孫曉","","8.6","http://book.douban.com/subject/3550509/"
"镜·破军","沧月","307","8.7","http://book.douban.com/subject/2382710/"
"镜·辟天","沧月","391","8.6","http://book.douban.com/subject/2382709/"
"镜·双城","沧月","351","8.6","http://book.douban.com/subject/2382707/"
"镜·龙战","沧月","353","8.6","http://book.douban.com/subject/2382711/"
"程序员面试宝典","欧立奇、刘洋、段韬/国别：中国大陆","365","6.7","http://book.douban.com/subject/1896792/"
"笑傲江湖（全四册）","金庸","1599","8.9","http://book.douban.com/subject/1002299/"
"图像处理、分析与机器视觉","[美]桑卡(Milan Sonka)","613","7.2","http://book.douban.com/subject/5921462/"
"PHP和MySQL Web开发(原书第4版)","Luke Welling","714","8.4","http://book.douban.com/subject/3549421/"
"倚天屠龙记","金庸","1594","8.7","http://book.douban.com/subject/1789841/"
"未来产品的设计","Donald A.Norman","198","7.5","http://book.douban.com/subject/3817241/"
"平凡的世界（全三册）","路遥","1270","9.2","http://book.douban.com/subject/1084080/"
"Reversing","艾拉姆（Eilam,E.）","598","7.8","http://book.douban.com/subject/2296343/"
"TURBO C 实用大全","徐科","597","7.4","http://book.douban.com/subject/1088747/"
".NET 4.0面向对象编程漫谈","金旭亮","341","8.4","http://book.douban.com/subject/5301287/"
"NET 4.0面向对象编程漫谈","金旭亮","339","7.9","http://book.douban.com/subject/5319799/"
"学习OpenCV（中文版）","Gary Bradski","601","8.3","http://book.douban.com/subject/4033320/"
"神雕侠侣","金庸","1564","8.8","http://book.douban.com/subject/1255624/"
"射雕英雄传","金庸","","9.1","http://book.douban.com/subject/3063713/"
"黑客与画家","[美] Paul Graham","264","8.8","http://book.douban.com/subject/6021440/"
"Windows高级调试","Mario Hewardt","500","8.3","http://book.douban.com/subject/3781532/"
"寒江独钓","谭文","9787121087967","8.4","http://book.douban.com/subject/3769383/"
"天书夜读","谭文","270","7.6","http://book.douban.com/subject/3246500/"
